"city","weather","visibility","temp","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","forecast_datetime","season"
"Seoul","Rain",8776,29.76,28.65,29.76,1010,66,1.77,136,"2024-07-15 09:00:00","Summer"
"Seoul","Rain",10000,28.53,26.08,28.53,1010,71,1.59,147,"2024-07-15 12:00:00","Summer"
"Seoul","Rain",10000,26.39,24.71,26.39,1011,80,2.2,148,"2024-07-15 15:00:00","Summer"
"Seoul","Rain",10000,24.35,24.35,24.35,1011,89,1.55,119,"2024-07-15 18:00:00","Summer"
"Seoul","Rain",10000,24.02,24.02,24.02,1011,90,1.53,93,"2024-07-15 21:00:00","Summer"
"Seoul","Clouds",10000,26.51,26.51,26.51,1011,75,2.32,98,"2024-07-16 00:00:00","Summer"
"Seoul","Rain",10000,28.27,28.27,28.27,1010,65,4.32,149,"2024-07-16 03:00:00","Summer"
"Seoul","Rain",10000,25.87,25.87,25.87,1010,83,3.61,186,"2024-07-16 06:00:00","Summer"
"Seoul","Rain",8050,23.81,23.81,23.81,1010,93,4.49,201,"2024-07-16 09:00:00","Summer"
"Seoul","Rain",3679,23.01,23.01,23.01,1010,96,2.66,170,"2024-07-16 12:00:00","Summer"
"Seoul","Rain",7341,23.07,23.07,23.07,1009,94,3.26,146,"2024-07-16 15:00:00","Summer"
"Seoul","Rain",4359,22.81,22.81,22.81,1007,96,3.56,176,"2024-07-16 18:00:00","Summer"
"Seoul","Rain",2746,23,23,23,1007,97,3.57,235,"2024-07-16 21:00:00","Summer"
"Seoul","Rain",NA,23.03,23.03,23.03,1008,98,4.08,229,"2024-07-17 00:00:00","Summer"
"Seoul","Rain",5126,23.34,23.34,23.34,1009,96,3.22,216,"2024-07-17 03:00:00","Summer"
"Seoul","Rain",10000,24.05,24.05,24.05,1008,95,3.95,213,"2024-07-17 06:00:00","Summer"
"Seoul","Rain",6609,24.72,24.72,24.72,1007,92,3.94,202,"2024-07-17 09:00:00","Summer"
"Seoul","Rain",9382,23.83,23.83,23.83,1008,96,2.28,192,"2024-07-17 12:00:00","Summer"
"Seoul","Rain",5764,23.64,23.64,23.64,1006,96,2.77,177,"2024-07-17 15:00:00","Summer"
"Seoul","Rain",10000,23.44,23.44,23.44,1004,95,4.33,185,"2024-07-17 18:00:00","Summer"
"Seoul","Rain",3936,23.58,23.58,23.58,1003,96,4.78,182,"2024-07-17 21:00:00","Summer"
"Seoul","Rain",3422,23.76,23.76,23.76,1002,96,5.82,185,"2024-07-18 00:00:00","Summer"
"Seoul","Rain",8946,23.81,23.81,23.81,1001,96,6.89,205,"2024-07-18 03:00:00","Summer"
"Seoul","Rain",10000,23.82,23.82,23.82,1001,95,6.51,234,"2024-07-18 06:00:00","Summer"
"Seoul","Rain",10000,23.04,23.04,23.04,1002,93,2.09,209,"2024-07-18 09:00:00","Summer"
"Seoul","Clouds",10000,23.09,23.09,23.09,1003,97,1.97,211,"2024-07-18 12:00:00","Summer"
"Seoul","Rain",1717,22.93,22.93,22.93,1003,99,0.98,208,"2024-07-18 15:00:00","Summer"
"Seoul","Rain",10000,23.21,23.21,23.21,1004,98,1.31,184,"2024-07-18 18:00:00","Summer"
"Seoul","Rain",10000,23.34,23.34,23.34,1004,98,1.03,186,"2024-07-18 21:00:00","Summer"
"Seoul","Rain",10000,24.99,24.99,24.99,1006,90,1.61,213,"2024-07-19 00:00:00","Summer"
"Seoul","Rain",10000,26.91,26.91,26.91,1006,75,3.26,216,"2024-07-19 03:00:00","Summer"
"Seoul","Clouds",10000,29.54,29.54,29.54,1005,63,3.76,228,"2024-07-19 06:00:00","Summer"
"Seoul","Rain",10000,26.89,26.89,26.89,1006,78,4.1,209,"2024-07-19 09:00:00","Summer"
"Seoul","Rain",10000,24.86,24.86,24.86,1008,89,2.92,204,"2024-07-19 12:00:00","Summer"
"Seoul","Rain",10000,23.93,23.93,23.93,1008,93,1.76,178,"2024-07-19 15:00:00","Summer"
"Seoul","Clouds",10000,23.49,23.49,23.49,1008,94,1.02,148,"2024-07-19 18:00:00","Summer"
"Seoul","Clouds",10000,23.67,23.67,23.67,1009,93,1.1,138,"2024-07-19 21:00:00","Summer"
"Seoul","Clouds",10000,25.21,25.21,25.21,1010,85,1.32,158,"2024-07-20 00:00:00","Summer"
"Seoul","Rain",10000,29.17,29.17,29.17,1010,70,3.33,213,"2024-07-20 03:00:00","Summer"
"Seoul","Rain",10000,30.32,30.32,30.32,1010,63,5.05,252,"2024-07-20 06:00:00","Summer"
"Washington, D.C.","Clear",10000,18.09,17.02,18.09,1014,49,2.76,288,"2024-07-15 09:00:00","Summer"
"Washington, D.C.","Clear",10000,17.42,16.09,17.42,1014,54,2.47,290,"2024-07-15 12:00:00","Summer"
"Washington, D.C.","Clear",10000,21.92,21.92,23.84,1014,42,2.1,338,"2024-07-15 15:00:00","Summer"
"Washington, D.C.","Clear",10000,31.62,31.62,31.62,1012,21,2.16,27,"2024-07-15 18:00:00","Summer"
"Washington, D.C.","Clear",10000,36.28,36.28,36.28,1010,13,3.2,20,"2024-07-15 21:00:00","Summer"
"Washington, D.C.","Clear",10000,35.63,35.63,35.63,1009,14,4.11,337,"2024-07-16 00:00:00","Summer"
"Washington, D.C.","Clear",10000,28.37,28.37,28.37,1010,28,3.26,326,"2024-07-16 03:00:00","Summer"
"Washington, D.C.","Clear",10000,18.76,18.76,18.76,1013,48,3.11,289,"2024-07-16 06:00:00","Summer"
"Washington, D.C.","Clouds",10000,17.24,17.24,17.24,1014,43,2.28,292,"2024-07-16 09:00:00","Summer"
